XrefEntry,Phrasal,XrefType,
trust,swear by,synonym
uncover,dig out,synonym
uncover,get at,synonym
undergo,pass through,synonym
undermine,wear down,synonym
understand,latch on,synonym
understand,make out,synonym
understand,take in,synonym
undertake,take on,synonym
unearth,dig out,synonym
unearth,dig up,synonym
unearth,dig up,synonym
unfold,open out,synonym
unfold,open up,synonym
unite,pull together,synonym
unleash,set off,synonym
unroll,roll out,synonym
unwind,wind down,synonym
vent,act out,synonym
violate,go against,synonym
visit,call by,synonym
visit,call in,synonym
visit,call on,synonym
visit,call round,synonym
visit,come around,synonym
visit,come by,synonym
visit,come over,synonym
visit,drop in,synonym
volunteer,come forward,synonym
volunteer,step forward,synonym
vomit,bring up,synonym
vomit,chuck up,synonym
vomit,heave up,synonym
vomit,puke up,synonym
vomit,sick up,synonym
vomit,throw up,synonym
wait,hang on,synonym
warn,tip off,synonym
wash,freshen up,synonym
waste,fritter away,synonym
waste,throw away,synonym
widen,open out,synonym
widen,open up,synonym
win,pick up,synonym
withdraw,bottle out,synonym
withdraw,pull back,synonym
withdraw,pull out,synonym
withdraw,pull out,synonym
withdraw,take back,synonym
wither,waste away,synonym
withhold,keep back,synonym
wreck,smash up,synonym
wreck,write off,synonym
wring,squeeze out,synonym
yell,cry out,synonym
yield,back down,synonym
yield,cave in,synonym
abandon,stand by,opposite
abandon,stick to,opposite
acknowledge,blank out,opposite
acknowledge,block out,opposite
acknowledge,look through,opposite
add,take away,opposite
admit,keep out,opposite
agitate,calm down,opposite
approach,draw away,opposite
approach,draw back,opposite
avoid,deal with,opposite
begin,wind up,opposite
behave,act up,opposite
bend,straighten out,opposite
bury,dig out,opposite
bury,dig up,opposite
bury,dredge up,opposite
clear,film over,opposite
clear,mist over,opposite
collect,deal out,opposite
condense,flesh out,opposite
confuse,straighten out,opposite
connect,cut off,opposite
connect,cut off,opposite
conserve,run through,opposite
conserve,use up,opposite
consider,sweep aside,opposite
construct,tear down,opposite
continue,turn back,opposite
decrease,bump up,opposite
deduct,make up,opposite
deflate,pump up,opposite
delight,gross out,opposite
depart,get in,opposite
depress,buoy up,opposite
depress,cheer up,opposite
despise,glory in,opposite
deteriorate,pick up,opposite
disappear,turn up,opposite
discharge,swear in,opposite
disconnect,hook up,opposite
dislike,care for,opposite
dislike,go for,opposite
dislike,go in for,opposite
dislike,take to,opposite
dismiss,take on,opposite
dissuade,egg on,opposite
dread,look forward to,opposite
drop,move up,opposite
drop,pick up,opposite
empty,fill up,opposite
empty,fill up,opposite
end,break out,opposite
end,kick off,opposite
end,kick off,opposite
end,lead off,opposite
exaggerate,play down,opposite
exclude,build in,opposite
exclude,count in,opposite
exclude,drag in,opposite
exclude,rule in,opposite
exclude,suck in,opposite
expand,slim down,opposite
expose,cover up,opposite
expose,cover up,opposite
fail,come off,opposite
fail,get ahead,opposite
fail,sail through,opposite
favo<UK>u</UK>r,frown on,opposite
finish,start off,opposite
fire,sign on,opposite
fire,sign up,opposite
flop,catch on,opposite
free,block up,opposite
halt,trigger off,opposite
hate,eat up,opposite
hearten,weigh on,opposite
heckle,cheer on,opposite
help,count against,opposite
hide,show up,opposite
highlight,paper over,opposite
ignite,blow out,opposite
ignore,attend to,opposite
ignore,attend to,opposite
include,count out,opposite
include,leave out,opposite
include,miss out,opposite
increase,cut back,opposite
increase,cut down,opposite
increase,cut down,opposite
increase,cut into,opposite
increase,fall off,opposite
increase,pare down,opposite
inflate,let down,opposite
insult,butter up,opposite
intensify,ease off,opposite
intensify,let up,opposite
invigorate,wear out,opposite
join,break away,opposite
join,break up,opposite
join,break with,opposite
keep,cast aside,opposite
keep,chuck out,opposite
keep,do away with,opposite
keep,go through,opposite
land,take off ,opposite
leave,book in,opposite
leave,roll in,opposite
leave,roll up,opposite
leave,stick around,opposite
lose,get back,opposite
lose,get back,opposite
lose,put on,opposite
lower,jack up,opposite
lower,jack up,opposite
merge,branch off,opposite
miss,pick up on,opposite
mistrust,depend on,opposite
narrow,broaden out,opposite
neglect,care for,opposite
obey,boss around,opposite
open,close down,opposite
open,close up,opposite
oppose,get behind,opposite
oppose,side with,opposite
plummet,shoot up,opposite
postpone,put forward,opposite
praise,lay into,opposite
